t,v,h,a
444.5,19747.0,305.8,1.992
445.0,19787.0,305.2,2.01
445.5,19822.0,305.4,2.014
,,,
446.5,19893.0,305.7,2.009
447.0,19938.0,305.8,2.054
447.5,19967.0,306.0,2.016
448.0,20085.0,306.1,2.356
448.5,20039.0,306.2,2.043
449.0,20078.0,306.4,2.065
449.5,20112.0,306.5,2.067
450.0,20151.0,306.7,2.063
450.5,20191.0,306.8,1.791
451.0,20225.0,307.8,2.044
451.5,20268.0,307.1,2.109
452.0,20381.0,307.2,2.369
452.5,20337.0,307.4,2.093
453.0,20376.0,307.5,2.09
453.5,20416.0,307.7,2.109
454.0,20452.0,307.8,2.11
454.5,20492.0,307.9,2.092
,,,
,,,
456.0,20688.0,308.3,2.229
456.5,20644.0,308.4,1.617
457.0,20685.0,308.6,1.946
,,,
,,,
458.5,20883.0,309.8,2.048
,,,
,,,
,,,
,,,
461.0,21085.0,309.6,2.072
461.5,21044.0,309.7,1.77
462.0,21088.0,309.8,1.785
462.5,21127.0,310.8,1.804
463.0,21167.0,310.1,1.792
463.5,21288.0,310.2,1.823
464.0,21251.0,310.3,1.849
464.5,21291.0,310.4,1.853
465.0,21333.0,310.5,1.86
465.5,21374.0,310.6,1.879
466.0,21417.0,310.8,1.89
,,,
467.0,21499.0,311.8,1.799
467.5,21544.0,311.1,2.135
468.0,21588.0,311.2,2.146
468.5,21626.0,311.3,2.04
469.0,21673.0,311.4,2.065
469.5,21712.0,311.5,2.367
470.0,21758.0,311.6,2.375
470.5,21798.0,311.7,2.379
471.0,21841.0,311.8,2.39
471.5,21887.0,311.9,2.107
472.0,21931.0,312.8,2.413
472.5,21973.0,312.1,2.42
473.0,22022.0,312.2,2.446
473.5,22059.0,312.3,2.431
474.0,22108.0,312.4,2.454
474.5,22148.0,312.5,2.45
475.0,22197.0,312.6,2.465
475.5,22241.0,312.7,2.465
476.0,22286.0,312.8,2.492
476.5,22331.0,312.9,2.484
477.0,22382.0,313.8,2.53
477.5,22425.0,313.1,2.518
